Offense,Category,Year,Time of Day,Occurred DateTime,Report DateTime,Location Type,Census Block Group,Latitude,Longitude,APD Sector,APD District,Council District
FAMILY DISTURBANCE,family,2014,Evening,2014-09-25 20:00:00,2014-09-25 20:05:00,RESIDENCE / HOME,4530400004.0,30.3475531,-97.707704,Edward,1,4
BURGLARY OF COIN-OP MACHINE,theft,2014,Afternoon,2014-04-24 12:00:00,2014-04-25 09:53:00,COMMERCIAL / OFFICE BUILDING,4530454002.0,30.4035607,-97.721309,Adam,2,7
BURGLARY OF VEHICLE,theft,2020,Evening,2020-08-20 17:00:00,2020-08-21 11:24:00,OTHER / UNKNOWN,4530405002.0,30.3554686,-97.7182668,Ida,7,4
FAMILY DISTURBANCE,family,2022,Night,2022-11-16 23:43:00,2022-11-17 00:39:00,RESIDENCE / HOME,4530022132.0,30.2859358,-97.6420721,Charlie,6,1
DWI,traffic,2007,Night,2007-08-11 04:04:00,2007-08-11 04:04:00,PARKING /DROP LOT/ GARAGE,4530324001.0,30.3907522,-97.7387405,Adam,2,7
AGG ASSAULT,aggravated assault,2023,Night,2023-06-24 03:19:00,2023-06-24 03:19:00,PARKING /DROP LOT/ GARAGE,4530023151.0,30.2345938,-97.7330258,Henry,2,3
CRIMINAL TRESPASS/TRANSIENT,trespass,2011,Evening,2011-01-13 20:00:00,2011-01-13 21:53:00,BANK / SAVINGS & LOAN,4530007001.0,30.2777004,-97.7411232,Baker,1,9
DISTURBANCE - OTHER,disturbance,2014,Afternoon,2014-10-21 14:09:00,2014-10-21 14:09:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530013081.0,30.2276787,-97.7650543,David,2,3
FAMILY DISTURBANCE,family,2019,Night,2019-09-04 23:33:00,2019-09-04 23:33:00,RESIDENCE / HOME,4530023143.0,30.2287064,-97.7233906,Henry,4,3
CRIMINAL MISCHIEF,property,2014,Evening,2014-09-18 20:00:00,2014-09-19 10:54:00,PARKING /DROP LOT/ GARAGE,4530440002.0,30.4000197,-97.6645181,Edward,6,1
CRIMINAL MISCHIEF,property,2005,Evening,2005-01-20 17:25:00,2005-01-20 17:36:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011022.0,30.266609,-97.7450234,George,4,9
DEBIT CARD ABUSE,fraud,2010,Night,2010-09-29 02:00:00,2010-09-30 08:17:00,COMMERCIAL / OFFICE BUILDING,4530372001.0,30.1519006,-97.845113,Frank,1,8
BURGLARY OF VEHICLE,theft,2010,Night,2010-07-07 22:00:00,2010-07-08 06:49:00,RESIDENCE / HOME,4530019202.0,30.2462086,-97.871677,David,6,8
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2012,Evening,2012-11-18 17:00:00,2012-11-18 17:00:00,RESIDENCE / HOME,4530021123.0,30.3097326,-97.6800953,Ida,4,4
FRAUD - OTHER,fraud,2020,Evening,2020-02-14 19:33:00,2020-02-14 19:33:00,RESIDENCE / HOME,4530406003.0,30.3615461,-97.7013235,Edward,1,4
CRIMINAL MISCHIEF,property,2013,Morning,2013-05-08 11:02:00,2013-05-08 11:02:00,PARKING /DROP LOT/ GARAGE,4530408003.0,30.3842914,-97.7110517,Edward,2,4
DWI,traffic,2011,Night,2011-03-31 02:12:00,2011-03-31 02:12:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530012001.0,30.2745143,-97.7577556,Baker,2,9
THEFT FROM BUILDING,theft,2020,Morning,2020-09-06 11:00:00,2020-09-10 12:40:00,RESIDENCE / HOME,4530022142.0,30.2901644,-97.6508131,Charlie,6,1
BURGLARY OF VEHICLE,theft,2019,Night,2019-10-27 23:00:00,2019-10-29 08:52:00,RESIDENCE / HOME,4530401001.0,30.3559507,-97.7126267,Edward,2,4
CRIMINAL MISCHIEF,property,2006,Evening,2006-03-17 18:30:00,2006-03-18 07:27:00,RESIDENCE / HOME,4530424001.0,30.3712927,-97.6023406,Charlie,8,1
CUSTODY ARREST TRAFFIC WARR,court,2016,Evening,2016-10-14 17:51:00,2016-10-14 17:51:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530439003.0,30.4123175,-97.6630974,Edward,6,7
THEFT OF TRAILER,theft,2013,Afternoon,2013-08-12 15:56:00,2013-08-12 18:23:00,COMMERCIAL / OFFICE BUILDING,4530021052.0,30.3167562,-97.7105296,Ida,6,4
BURGLARY OF VEHICLE,theft,2009,Night,2009-06-09 22:15:00,2009-06-10 20:18:00,RESIDENCE / HOME,4530310001.0,30.2054581,-97.824768,Frank,1,5
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2020,Morning,2020-10-19 05:27:00,2020-10-19 05:27:00,RESIDENCE / HOME,4910204104.0,30.4463639,-97.7729773,Adam,4,6
FAMILY DISTURBANCE,family,2012,Evening,2012-03-30 18:50:00,2012-03-30 18:50:00,PARKING /DROP LOT/ GARAGE,4530024372.0,30.1579505,-97.7956163,Frank,2,5
CRIMINAL MISCHIEF,property,2007,Night,2007-10-11 21:30:00,2007-10-12 05:07:00,PARKING /DROP LOT/ GARAGE,4530023144.0,30.2273812,-97.719107,Henry,4,3
FAMILY DISTURBANCE,family,2007,Afternoon,2007-04-17 12:10:00,2007-04-17 12:10:00,RESIDENCE / HOME,4530019151.0,30.2405635,-97.8366971,David,6,8
DWI 2ND,traffic,2006,Night,2006-07-19 23:16:00,2006-07-19 23:16:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009012.0,30.2664785,-97.7273353,Charlie,4,1
FAMILY DISTURBANCE/PARENTAL,family,2006,Evening,2006-02-22 18:50:00,2006-02-22 20:19:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530405003.0,30.357715,-97.7260069,Ida,7,4
AUTO THEFT,theft,2006,Afternoon,2006-08-05 12:00:00,2006-08-05 12:00:00,PARKING /DROP LOT/ GARAGE,4530310001.0,30.2054581,-97.824768,Frank,1,5
WARRANT ARREST NON TRAFFIC,court,2013,Night,2013-10-07 23:20:00,2013-10-07 23:20:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530454003.0,30.3859032,-97.7260439,Adam,1,7
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2021,Morning,2021-08-25 11:35:00,2021-08-25 14:22:00,RESIDENCE / HOME,4530023074.0,30.2302088,-97.7396708,Henry,2,3
DWI,traffic,2017,Night,2017-09-23 02:22:00,2017-09-23 03:03:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4910204052.0,30.4543494,-97.7999113,Adam,6,6
BURGLARY NON RESIDENCE,burglary,2016,Night,2016-02-23 04:23:00,2016-02-23 06:05:00,RESTAURANT,4530003092.0,30.289294,-97.7032871,Baker,4,1
ROBBERY BY ASSAULT,robbery,2022,Night,2022-12-16 21:00:00,2022-12-16 21:00:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
DISTURBANCE - OTHER,disturbance,2009,Afternoon,2009-05-13 16:46:00,2009-05-13 16:46:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024101.0,30.2092503,-97.7845904,David,3,2
ASSAULT WITH INJURY,assault,2015,Night,2015-01-01 02:03:00,2015-01-01 02:03:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011032.0,30.2646001,-97.7396453,George,2,9
FAMILY DISTURBANCE/PARENTAL,family,2014,Evening,2014-03-14 19:35:00,2014-03-14 19:35:00,RESIDENCE / HOME,4910204032.0,30.4632826,-97.8010365,Adam,6,6
VIOL CITY ORDINANCE - OTHER,ordinance,2016,Morning,2016-07-11 08:20:00,2016-07-11 08:20:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530400001.0,30.3381903,-97.7057278,Ida,8,4
BURGLARY OF VEHICLE,theft,2017,Evening,2017-04-15 18:00:00,2017-04-17 14:03:00,RESIDENCE / HOME,4530024101.0,30.2092503,-97.7845904,David,3,2
FAMILY DISTURBANCE,family,2011,Evening,2011-04-11 19:18:00,2011-04-11 19:40:00,RESIDENCE / HOME,4530023071.0,30.2222661,-97.7395811,Henry,2,3
DWI,traffic,2013,Night,2013-10-12 00:24:00,2013-10-12 00:24:00,PARKING /DROP LOT/ GARAGE,4530023252.0,30.2275429,-97.7046691,Henry,3,3
FAMILY DISTURBANCE,family,2005,Night,2005-12-27 22:49:00,2005-12-27 22:49:00,RESIDENCE / HOME,4530310001.0,30.2054581,-97.824768,Frank,1,5
BURGLARY OF RESIDENCE,burglary,2009,Evening,2009-12-09 19:00:00,2009-12-11 12:41:00,RESIDENCE / HOME,4530019221.0,30.2406956,-97.7937192,David,4,5
ASSAULT  CONTACT-SEXUAL NATURE,assault,2015,Night,2015-05-17 23:55:00,2015-05-18 01:08:00,PARKING /DROP LOT/ GARAGE,4530325001.0,30.4089097,-97.7403605,Adam,2,7
BURGLARY OF RESIDENCE,burglary,2007,Afternoon,2007-05-26 16:30:00,2007-06-06 17:18:00,RESIDENCE / HOME,4530302003.0,30.3706041,-97.7517894,Baker,8,10
AUTO THEFT,theft,2003,Morning,2003-04-10 09:00:00,2003-04-11 08:28:00,PARKING /DROP LOT/ GARAGE,4530024111.0,30.2084521,-97.7468474,Frank,6,2
BURGLARY NON RESIDENCE,burglary,2021,Evening,2021-09-04 17:00:00,2021-09-05 13:22:00,OTHER / UNKNOWN,4530012005.0,30.270168,-97.7598134,Baker,2,9
ASSAULT BY CONTACT,assault,2024,Afternoon,2024-12-08 13:00:00,2024-12-08 17:25:00,DEPARTMENT / DISCOUNT STORE,4530431001.0,30.3581886,-97.694045,Edward,1,4
THEFT OF BICYCLE,theft,2016,Night,2016-08-28 21:30:00,2016-08-29 06:58:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530008023.0,30.2700814,-97.7111778,Charlie,2,1
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2013,Afternoon,2013-02-20 14:34:00,2013-02-20 14:34:00,PARKING /DROP LOT/ GARAGE,4530401002.0,30.3564425,-97.7045101,Edward,2,4
FRAUD - OTHER,fraud,2009,Afternoon,2009-09-02 14:43:00,2010-02-05 14:43:00,COMMERCIAL / OFFICE BUILDING,4530023102.0,30.2423539,-97.6592003,Henry,5,3
DAMAGE CITY PROP,property,2013,Afternoon,2013-06-28 13:50:00,2013-06-28 15:46:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023232.0,30.2333784,-97.7481133,David,2,3
DWI 2ND,traffic,2017,Night,2017-05-17 01:23:00,2017-05-17 01:23:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011032.0,30.2646001,-97.7396453,George,2,9
THEFT,theft,2020,Evening,2020-08-08 17:30:00,2020-09-04 18:59:00,RENTAL STORAGE FACILITY,4530404001.0,30.3677025,-97.7294557,Baker,6,7
BURGLARY OF VEHICLE,theft,2018,Evening,2018-12-10 19:00:00,2018-12-11 10:07:00,RESIDENCE / HOME,4530015051.0,30.3353845,-97.7348826,Ida,7,7
THEFT,theft,2009,Evening,2009-03-15 17:30:00,2009-03-17 08:07:00,RESIDENCE / HOME,4530023073.0,30.2190531,-97.736105,Henry,2,3
POSS CONTROLLED SUB/NARCOTIC,drugs,2007,Morning,2007-06-29 05:15:00,2007-06-29 05:15:00,PARKING /DROP LOT/ GARAGE,4530431002.0,30.3526208,-97.6935937,Ida,2,4
BURGLARY OF RESIDENCE,burglary,2007,Morning,2007-10-19 07:00:00,2007-10-19 19:29:00,RESIDENCE / HOME,4530348002.0,30.2014715,-97.8760185,David,7,8
POSS CONTROLLED SUB/NARCOTIC,drugs,2021,Night,2021-10-05 01:00:00,2021-10-05 01:00:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024072.0,30.1463422,-97.811252,Frank,2,5
CRIMINAL TRESPASS,trespass,2006,Morning,2006-03-02 11:18:00,2006-03-02 11:18:00,GOVERNMENT / PUBLIC BUILDING,4530011011.0,30.2696516,-97.7375527,George,2,9
HARASSMENT,abuse,2014,Morning,2014-09-02 09:04:00,2014-09-02 09:04:00,RESIDENCE / HOME,4530023162.0,30.2302024,-97.7277031,Henry,2,3
FAMILY DISTURBANCE,family,2015,Evening,2015-08-10 18:28:00,2015-08-10 19:24:00,RESIDENCE / HOME,4530403001.0,30.3463938,-97.68552,Edward,3,4
DEBIT CARD ABUSE,fraud,2018,Morning,2018-09-25 08:00:00,2018-10-17 15:23:00,RESIDENCE / HOME,4530021073.0,30.3007794,-97.6789798,Ida,4,1
DISTURBANCE - OTHER,disturbance,2011,Afternoon,2011-10-15 14:37:00,2011-10-15 14:37:00,RESIDENCE / HOME,4530022201.0,30.3169719,-97.6396062,Charlie,7,1
FAMILY DISTURBANCE,family,2019,Afternoon,2019-06-15 16:49:00,2019-06-15 16:49:00,RESIDENCE / HOME,4910204063.0,30.4409239,-97.7684202,Adam,4,6
THEFT,theft,2022,Morning,2022-06-25 06:01:00,2022-06-30 13:09:00,RESIDENCE / HOME,4530013082.0,30.2387552,-97.7578847,David,2,3
THEFT,theft,2006,Evening,2006-06-24 20:00:00,2006-06-28 18:12:00,RESIDENCE / HOME,4530021122.0,30.3178309,-97.6828643,Ida,3,4
CRIMINAL MISCHIEF,property,2007,Evening,2007-01-02 20:00:00,2007-01-03 05:05:00,RESIDENCE / HOME,4530434001.0,30.3284539,-97.699033,Ida,1,4
DAMAGE CITY PROP,property,2009,Evening,2009-07-15 20:30:00,2009-07-17 19:13:00,PARKING /DROP LOT/ GARAGE,4530422003.0,30.4122241,-97.695276,Adam,3,7
CRIMINAL MISCHIEF,property,2022,Night,2022-12-17 04:35:00,2022-12-17 04:35:00,ATM SEPARATE FROM BANK,4530024461.0,30.1274335,-97.7891871,Frank,7,5
THEFT,theft,2015,Evening,2015-12-08 17:16:00,2015-12-08 17:16:00,RESIDENCE / HOME,4530019141.0,30.247825,-97.8260227,David,5,8
FAMILY DISTURBANCE,family,2018,Night,2018-02-13 23:20:00,2018-02-13 23:20:00,RESIDENCE / HOME,4530021061.0,30.3113948,-97.6890435,Ida,4,4
TERRORISTIC THREAT,terrorism,2005,Night,2005-07-16 04:00:00,2005-07-16 11:50:00,RESIDENCE / HOME,4530327001.0,30.4249217,-97.7730178,Adam,7,10
BURGLARY OF VEHICLE,theft,2015,Night,2015-01-02 21:00:00,2015-01-05 08:50:00,PARKING /DROP LOT/ GARAGE,4530403001.0,30.3463938,-97.68552,Edward,3,4
THEFT BY SHOPLIFTING,theft,2018,Evening,2018-04-16 19:00:00,2018-04-17 07:16:00,DEPARTMENT / DISCOUNT STORE,4530421003.0,30.41657,-97.6762212,Edward,4,7
ASSAULT WITH INJURY,assault,2010,Afternoon,2010-05-29 12:17:00,2010-05-29 12:17:00,OTHER / UNKNOWN,4530004022.0,30.2836184,-97.7100419,Charlie,3,1
CRIMINAL MISCHIEF,property,2005,Afternoon,2005-01-19 12:00:00,2005-01-20 10:17:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530410003.0,30.3703661,-97.6876942,Edward,1,4
VOCO AMPLIFIED MUSIC/VEHICLE,nuisance,2006,Night,2006-04-01 23:10:00,2006-04-01 23:10:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530008041.0,30.2696968,-97.7174616,Charlie,2,1
AGG ROBBERY/DEADLY WEAPON,robbery,2010,Evening,2010-01-18 19:43:00,2010-01-18 19:44:00,COMMERCIAL / OFFICE BUILDING,4530024242.0,30.1947656,-97.7946389,Frank,3,2
RAPE,rape,2003,Night,2003-04-11 00:01:00,2003-04-11 13:32:00,OTHER / UNKNOWN,4530015032.0,30.3355469,-97.7153918,Ida,8,4
GRAFFITI,nuisance,2008,Morning,2008-05-22 11:00:00,2008-05-22 19:45:00,RESIDENCE / HOME,4530024221.0,30.1906024,-97.7846019,Frank,3,2
LIQUOR LAW VIOLATION/OTHER,drugs,2007,Afternoon,2007-04-26 16:16:00,2007-04-26 16:16:00,GROCERY / SUPERMARKET,4530013082.0,30.2387552,-97.7578847,David,2,3
FAMILY DISTURBANCE,family,2010,Afternoon,2010-09-10 12:38:00,2010-09-10 12:38:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009022.0,30.2570243,-97.7106188,Charlie,1,3
CRIMINAL MISCHIEF,property,2020,Morning,2020-11-09 10:31:00,2020-11-09 10:31:00,DEPARTMENT / DISCOUNT STORE,4530009022.0,30.2570243,-97.7106188,Charlie,1,3
THEFT,theft,2016,Evening,2016-08-02 19:30:00,2016-08-03 16:27:00,RESIDENCE / HOME,4530021112.0,30.2532607,-97.6940465,Charlie,2,3
THEFT OF LICENSE PLATE,theft,2018,Night,2018-03-22 00:01:00,2018-03-26 15:06:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530317001.0,30.1831802,-97.8330729,Frank,1,5
VOCO - ALCOHOL  CONSUMPTION,drugs,2008,Morning,2008-10-10 09:58:00,2008-10-10 09:58:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009024.0,30.2619393,-97.7293714,Charlie,1,3
OBTAIN CONTROLLED SUB BY FRAUD,drugs,2014,Afternoon,2014-11-10 13:00:00,2014-11-11 08:08:00,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,4910204032.0,30.4632826,-97.8010365,Adam,6,6
CUSTODY ARREST TRAFFIC WARR,court,2004,Evening,2004-08-15 20:50:00,2004-08-15 20:50:00,GOVERNMENT / PUBLIC BUILDING,4530021113.0,30.2582833,-97.6793314,Charlie,5,3
AGG ASSAULT,aggravated assault,2007,Evening,2007-06-23 19:32:00,2007-06-23 19:32:00,PARKING /DROP LOT/ GARAGE,4530023162.0,30.2302024,-97.7277031,Henry,2,3
POSS CONTROLLED SUB/NARCOTIC,drugs,2022,Night,2022-04-04 23:34:00,2022-04-05 03:02:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023211.0,30.2340963,-97.6956408,Henry,5,3
CUSTODY ARREST TRAFFIC WARR,court,2013,Afternoon,2013-12-03 15:24:00,2013-12-03 15:24:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530008032.0,30.2771064,-97.7185926,Charlie,3,1
BURGLARY OF VEHICLE,theft,2012,Night,2012-01-05 00:00:00,2012-01-05 11:59:00,PARKING /DROP LOT/ GARAGE,4530023261.0,30.244493,-97.7125417,Henry,3,3
BURGLARY OF VEHICLE,theft,2010,Morning,2010-06-28 10:00:00,2010-06-28 10:32:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530019113.0,30.2658389,-97.7751242,David,1,8
AUTO THEFT,theft,2006,Evening,2006-11-15 17:00:00,2006-11-16 16:15:00,COMMERCIAL / OFFICE BUILDING,4530003041.0,30.3082259,-97.714499,Baker,4,9
BURGLARY OF VEHICLE,theft,2011,Morning,2011-10-27 08:00:00,2011-10-27 11:37:00,COMMERCIAL / OFFICE BUILDING,4530021054.0,30.3169564,-97.7053727,Ida,5,4
DISTURBANCE - OTHER,disturbance,2005,Night,2005-09-25 04:45:00,2005-09-25 04:45:00,RESIDENCE / HOME,4530023071.0,30.2222661,-97.7395811,Henry,2,3
VIOL CITY ORDINANCE - OTHER,ordinance,2012,Morning,2012-08-05 11:57:00,2012-08-05 11:57:00,GOVERNMENT / PUBLIC BUILDING,,,,David,D,5
TERRORISTIC THREAT,terrorism,2024,Afternoon,2024-03-05 16:49:00,2024-03-08 14:13:00,RESIDENCE / HOME,4530416001.0,30.3570029,-97.68056,Edward,7,4
INJURY TO CHILD (CARE/CUSTODY),abuse,2005,Afternoon,2005-05-05 14:58:00,2005-05-05 14:58:00,RESIDENCE / HOME,4530023132.0,30.2253461,-97.7324983,Henry,2,3
BURGLARY OF VEHICLE,theft,2006,Night,2006-05-21 00:10:00,2006-05-21 10:46:00,RESIDENCE / HOME,4530420002.0,30.4312879,-97.7190377,Adam,3,7
IDENTITY THEFT,fraud,2013,Afternoon,2013-11-23 12:00:00,2013-12-21 13:46:00,RESIDENCE / HOME,4530024122.0,30.1855734,-97.7498856,Frank,5,2
POSSESSION OF MARIJUANA,drugs,2015,Night,2015-01-09 23:34:00,2015-01-09 23:34:00,CONSTRUCTION SITE,4530012002.0,30.2760573,-97.7550409,Baker,2,9
POSSESSION OF MARIJUANA,drugs,2024,Evening,2024-05-24 20:28:00,2024-05-24 20:28:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
THEFT,theft,2009,Afternoon,2009-06-17 15:18:00,2009-06-17 15:24:00,RESIDENCE / HOME,4530024132.0,30.2007263,-97.7381872,Frank,5,2
FAMILY DISTURBANCE,family,2017,Evening,2017-05-22 17:59:00,2017-05-22 18:46:00,RESIDENCE / HOME,4530439001.0,30.404245,-97.6500993,Edward,6,7
FAMILY DISTURBANCE,family,2004,Morning,2004-12-17 08:21:00,2004-12-17 08:21:00,RESIDENCE / HOME,4530013123.0,30.2532837,-97.7582224,David,1,9
ASSAULT BY THREAT,assault,2018,Morning,2018-04-13 08:39:00,2018-04-13 08:39:00,GOVERNMENT / PUBLIC BUILDING,4530023191.0,30.1998047,-97.6449201,Henry,8,2
THEFT BY SHOPLIFTING,theft,2005,Afternoon,2005-12-31 13:22:00,2005-12-31 13:22:00,GROCERY / SUPERMARKET,4530406001.0,30.3661798,-97.7011105,Edward,1,4
THEFT OF SERVICE,theft,2014,Afternoon,2014-05-02 14:20:00,2014-05-02 14:20:00,AIR / BUS / TRAIN TERMINAL,4910203113.0,30.4744834,-97.7879862,Adam,5,6
FAMILY DISTURBANCE,family,2017,Morning,2017-11-23 09:37:00,2017-11-23 09:51:00,RESIDENCE / HOME,4530434001.0,30.3284539,-97.699033,Ida,1,4
FAMILY DISTURBANCE,family,2007,Evening,2007-06-28 17:59:00,2007-06-28 17:59:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021092.0,30.2795723,-97.6914013,Charlie,4,1
HARASSMENT,abuse,2013,Night,2013-08-30 22:00:00,2013-09-03 11:33:00,RESIDENCE / HOME,4530347001.0,30.2306459,-97.8711823,David,6,8
FAMILY DISTURBANCE,family,2014,Evening,2014-03-21 20:15:00,2014-03-21 20:15:00,PARKING /DROP LOT/ GARAGE,4530421003.0,30.41657,-97.6762212,Edward,4,7
VOCO SOLICITATION PROHIBIT,solicitation,2007,Morning,2007-05-02 07:18:00,2007-05-02 07:18:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011032.0,30.2646001,-97.7396453,Charlie,1,9
CRED CARD ABUSE - OTHER,fraud,2017,Evening,2017-04-17 17:00:00,2017-04-19 10:47:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530003071.0,30.2970325,-97.7125652,Baker,4,9
EVADING VEHICLE,obstruction,2024,Night,2024-09-06 00:39:00,2024-09-06 00:39:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530015041.0,30.3455683,-97.7184735,Ida,7,7
AUTO THEFT,theft,2020,Morning,2020-03-16 07:23:00,2020-03-16 07:37:00,SERVICE/ GAS STATION,4530438001.0,30.3835303,-97.6554838,Edward,7,1
POSS CONTROLLED SUB/NARCOTIC,drugs,2016,Afternoon,2016-12-04 13:44:00,2016-12-04 13:44:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530015014.0,30.342315,-97.7425532,Baker,6,7
FAMILY DISTURBANCE,family,2004,Afternoon,2004-10-23 13:24:00,2004-10-23 13:24:00,RESIDENCE / HOME,4530008023.0,30.2700814,-97.7111778,Charlie,2,1
THEFT OF AUTO PARTS,theft,2005,Morning,2005-04-11 09:56:00,2005-04-11 09:56:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530004023.0,30.2816518,-97.7219621,Charlie,3,1
DISTURBANCE - OTHER,disturbance,2020,Afternoon,2020-01-25 16:10:00,2020-01-25 16:10:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011022.0,30.266609,-97.7450234,George,1,9
BURGLARY OF VEHICLE,theft,2005,Night,2005-04-28 21:00:00,2005-04-29 13:43:00,PARKING /DROP LOT/ GARAGE,4530022222.0,30.2974782,-97.6292814,Charlie,7,1
THEFT,theft,2006,Evening,2006-04-20 18:30:00,2006-04-30 15:23:00,COMMERCIAL / OFFICE BUILDING,4530011022.0,30.266609,-97.7450234,George,4,9
CRIMINAL MISCHIEF,property,2017,Morning,2017-11-29 07:05:00,2017-11-29 07:05:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530316001.0,30.4268865,-97.7386752,Adam,3,6
LITTERING,nuisance,2003,Night,2003-09-03 22:15:00,2003-09-03 22:18:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011032.0,30.2646001,-97.7396453,George,2,9
AGG ASSAULT,aggravated assault,2003,Afternoon,2003-11-05 15:12:00,2003-11-05 15:12:00,FIELD / WOODS,4530009021.0,30.2609284,-97.7067363,Charlie,2,3
BURGLARY OF RESIDENCE,burglary,2011,Night,2011-11-13 23:37:00,2011-11-14 01:50:00,RESIDENCE / HOME,4530023143.0,30.2287064,-97.7233906,Henry,4,3
VIOL CITY ORDINANCE - SMOKING,ordinance,2015,Morning,2015-08-26 10:06:00,2015-08-26 10:06:00,PARK / PLAYGROUND,4530010004.0,30.2505103,-97.7208292,Charlie,1,3
FAILURE TO IDENTIFY,obstruction,2007,Evening,2007-12-19 19:48:00,2007-12-19 19:48:00,PARKING /DROP LOT/ GARAGE,4530019201.0,30.2494198,-97.8896082,David,6,8
THEFT,theft,2004,Evening,2004-11-05 20:00:00,2004-11-07 14:50:00,RESIDENCE / HOME,4530009023.0,30.2568324,-97.7178294,Charlie,1,3
FAMILY DISTURBANCE,family,2023,Morning,2023-12-05 09:59:00,2023-12-05 09:59:00,PARKING /DROP LOT/ GARAGE,4530023152.0,30.2327526,-97.7305795,Henry,2,3
BURGLARY OF VEHICLE,theft,2024,Afternoon,2024-12-05 14:00:00,2024-12-10 23:40:00,RESIDENCE / HOME,4530006052.0,30.2893042,-97.7496601,Baker,3,9
GRAFFITI,nuisance,2006,Morning,2006-11-18 08:35:00,2006-11-19 11:48:00,FIELD / WOODS,4530414002.0,30.4196744,-97.7127716,Adam,3,7
BURGLARY OF VEHICLE,theft,2005,Night,2005-03-31 22:20:00,2005-04-01 01:54:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,Charlie,4,9
WARRANT ARREST NON TRAFFIC,court,2008,Morning,2008-02-04 11:37:00,2008-02-04 11:37:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530015031.0,30.3200145,-97.719512,Ida,6,4
BURGLARY OF VEHICLE,theft,2020,Night,2020-08-26 03:30:00,2020-08-28 17:14:00,PARKING /DROP LOT/ GARAGE,4530432003.0,30.3519268,-97.7021453,Edward,1,4
DEL CONTROLLED SUB/NARCOTIC,drugs,2005,Night,2005-02-11 23:03:00,2005-02-11 23:03:00,PARKING /DROP LOT/ GARAGE,4530401002.0,30.3564425,-97.7045101,Edward,2,4
CRIMINAL TRESPASS/TRANSIENT,trespass,2003,Night,2003-08-30 00:00:00,2003-09-01 09:09:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011011.0,30.2696516,-97.7375527,George,2,9
THEFT OF LICENSE PLATE,theft,2021,Afternoon,2021-04-28 12:00:00,2021-05-04 14:16:00,RESIDENCE / HOME,4530367004.0,30.2007407,-97.9014425,David,8,8
POSS OF DRUG PARAPHERNALIA,drugs,2006,Night,2006-06-21 21:00:00,2006-06-21 21:00:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023043.0,30.2416695,-97.7204469,Henry,2,3
POSS OF FIREARM BY FELON,weapons,2019,Evening,2019-01-06 19:32:00,2019-01-06 19:32:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530020032.0,30.2191547,-97.7700294,David,3,3
